id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category,titleVector
12086717,سارافون زنانه بنیس مدل ماکسی سامر هیروگلیف رنگ سبزآبی,0,0,لباس زنانه,پیراهن و لباس مجلسی زنانه,بنیس,5380000,بنیس استایل,False,0,clothe,"[ 0.03448041 -0.02188783 -0.05565743 ...  0.0348447  -0.09278797
  0.00312947]"
12027482,کتاب Ernest Sosa اثر John Greco انتشارات Wiley-Blackwell,0,0,کتاب چاپی غیر فارسی,None,متفرقه,2160000,بوکم,False,0,book & stationary & art,"[ 0.02680082 -0.02451519 -0.00927327 ... -0.00635645 -0.05857755
 -0.00957689]"
3567001,کفش راحتی دخترانه کد PAPN_CRCDS11,84,12,دخترانه,کفش دخترانه,متفرقه,2150000,استارلند,False,0,clothe,"[ 0.00823918 -0.00605072 -0.04176331 ...  0.00122089 -0.04192684
 -0.01279189]"
6740599,دفتر 60 برگ مکث نوت مدل art-01 کد 146771,0,0,دفتر و کاغذ و مقوا,دفتر,مکث نوت,550000,لوازم تحریر قائم,False,0,book & stationary & art,"[ 0.03480571 -0.02008425 -0.00031711 ... -0.00827354 -0.08843537
  0.0138409 ]"
6577877,کرم ضد جوش ویادرما مدل 42427 حجم 40 میلی لیتر,0,0,مراقبت پوست,کرم و ژل ضد جوش,ویادرما,300000,کیمیا گران گنجینه پارسیان,False,0,beauty,"[ 0.03440119  0.0006619  -0.01707035 ... -0.0047621  -0.0583799
  0.00107812]"
3078328,جاکارتی مردانه طرح پابجی کد 43229,0,0,اکسسوری مردانه,کیف پول مردانه,متفرقه,1200000,گالری وبفر,False,0,clothe,"[ 0.00853382 -0.01290109 -0.04927393 ...  0.00262683 -0.06908167
 -0.02633583]"
7054682,پاپوش بافتنی دخترانه مدل خرگوشی,40,2,دخترانه,لباس دخترانه,متفرقه,900000,فروشگاه لالانازی,False,0,clothe,"[ 0.03869714  0.00795682 -0.03077065 ...  0.01122623 -0.03677269
 -0.01364238]"
10263672,فیگور مدل مرد عنکبوتی B,0,0,اسباب بازی,جغجغه، عروسک و مدل,متفرقه,550000,تامین کالای ملودی,False,0,toys and kids,"[ 0.03657472 -0.02369361 -0.02091227 ...  0.02005305 -0.0481897
  0.0096468 ]"
5648378,کالسکه اسباب بازی مدل setare کد B_377,82,9,اسباب بازی,فکری و آموزشی,متفرقه,530000,آرینا کالا,False,0,toys and kids,"[ 0.02724827  0.00214939 -0.04021079 ... -0.00462528 -0.06037196
 -0.02716772]"
2445045,تابلو فرش ماشینی نقش نگار رضوی طرح منظره کد 1611B,0,0,تابلو فرش,None,نقش نگار رضوی,9990000,گالری ضامن,False,0,book & stationary & art,"[ 0.0005592  -0.00549078 -0.0177403  ... -0.00813163 -0.03256635
 -0.00785686]"
11074711,جاکلیدی مدل dont touch طرح حمزه,0,0,دست سازه های هنری,جاکلیدی,متفرقه,850000,نقش نگین,False,0,book & stationary & art,"[ 0.02773354 -0.01368058 -0.03441269 ... -0.00133049 -0.02512346
 -0.00089907]"
6345032,زیرسیگاری چوبی مدل اسم ناهید,0,0,محصولات چوبی و حصیری,خراطی,متفرقه,1290000,کاتانا,False,0,book & stationary & art,"[ 0.00611292 -0.0141032  -0.03804903 ...  0.01764441 -0.04115448
 -0.00359326]"
2318031,ساعت مچی عقربه ای مردانه کاسیو مدل جی شاک کد GA-2000S-1ADR,86,8,اکسسوری مردانه,ساعت مردانه,کاسیو,64921500, پوزیترون,False,64921500,clothe,"[ 0.0195615   0.00189854 -0.02993862 ...  0.00018532 -0.05356118
 -0.00423982]"
8398484,ماسک صورت بایو آکوا مدل 05 وزن 25 گرم بسته 2 عددی,100,3,مراقبت پوست,ماسک صورت و بدن,بایو آکوا,350000,کوتکا,False,0,beauty,"[ 0.03588969  0.01521879 -0.03734541 ...  0.02007315 -0.02618715
 -0.00640877]"
5567786,گردنبند مدل افشین کد C26,0,0,اکسسوری زنانه و مردانه,زیورآلات زنانه و مردانه,متفرقه,499000,عقیق اصل,False,0,clothe,"[ 0.02910019  0.01255963 -0.02930155 ...  0.01363672 -0.03156666
 -0.00885813]"
62058,ادو پرفیوم زنانه کارلوف مدل In Love حجم 100 میلی لیتر,76,7,عطر و ادکلن زنانه,None,کارلوف,20000000,ایرانوس,False,0,beauty,"[ 0.00190686 -0.02228265 -0.0177763  ... -0.0011421  -0.07349501
  0.00411485]"
10681291,قمقمه ایون مدل Drink up کد YY-255  گنجایش 1 لیتر,20,1,ورزش های هوازی و تناسب اندام,تجهیزات و لوازم بدنسازی و هوازی,متفرقه,3210000,گالری یاس بانو,False,3250000,travel,"[ 0.02733028 -0.00894398  0.01263272 ... -0.00771841 -0.05773658
  0.02605825]"
9278934,جعبه جواهر چوبی مدل ونوس,80,1,محصولات چوبی و حصیری,خراطی,متفرقه,2270000,درامو,False,0,book & stationary & art,"[ 0.0245191   0.00849685 -0.034038   ...  0.01150019 -0.04227215
 -0.0238258 ]"
11201676,کلاه کپ مردانه تام اند رز مدل GR,0,0,اکسسوری مردانه,سرپوش مردانه,تام اند رز,1990000,فروشگاه گلچین,False,0,clothe,"[ 0.01887139 -0.00058588 -0.00707795 ...  0.00606164 -0.02481519
 -0.00027097]"
11942176,دستبند طلا 18 عیار مردانه لیردا مدل B,0,0,زیورآلات طلا مردانه,دستبند طلا مردانه,لیردا,9790000,لیردا گلد,False,0,clothe,"[ 0.01456361  0.02143111 -0.03589779 ...  0.00423006 -0.04422391
 -0.00613516]"
8867068,مایو مردانه لیورجی مدل HP11,0,0,لباس مردانه,لباس ورزشی مردانه,لیورجی,2800000,آنیگما,False,0,clothe,"[ 0.02434739 -0.0171948  -0.02775861 ...  0.01796613 -0.03042185
  0.01919073]"
9725990,آویز گردنبند طلا 18 عیار دخترانه دوست خوب مدل dk859,0,0,زیورآلات طلا بچگانه,زیورآلات طلا دخترانه,دوست خوب,17820000,دوست خوب,False,0,clothe,"[ 0.00937922  0.00277531 -0.02621245 ...  0.00414122 -0.05605878
 -0.018252  ]"
